Código,Ação,Tipo
ALOS3,ALLOS,ON  EJ  NM
ALPA4,ALPARGATAS,PN      N1
ABEV3,AMBEV S/A,ON  EDJ
ASAI3,ASSAI,ON      NM
AURE3,AUREN,ON      NM
AMOB3,AUTOMOB,ON      NM
AZUL4,AZUL,PN      N2
AZZA3,AZZAS 2154,ON      NM
B3SA3,B3,ON      NM
BBSE3,BBSEGURIDADE,ON      NM
BBDC3,BRADESCO,ON      N1
BBDC4,BRADESCO,PN      N1
BRAP4,BRADESPAR,PN  EJ  N1
BBAS3,BRASIL,ON      NM
BRKM5,BRASKEM,PNA     N1
BRAV3,BRAVA,ON      NM
BRFS3,BRF SA,ON  EJ  NM
BPAC11,BTGP BANCO,UNT EX  N2
CXSE3,CAIXA SEGURI,ON      NM
CRFB3,CARREFOUR BR,ON  EJ  NM
CCRO3,CCR SA,ON      NM
CMIG4,CEMIG,PN  EJ  N1
COGN3,COGNA ON,ON      NM
CPLE6,COPEL,PNB     N2
CSAN3,COSAN,ON      NM
CPFE3,CPFL ENERGIA,ON      NM
CMIN3,CSNMINERACAO,ON      N2
CVCB3,CVC BRASIL,ON      NM
CYRE3,CYRELA REALT,ON      NM
ELET3,ELETROBRAS,ON  ED  N1
ELET6,ELETROBRAS,PNB ED  N1
EMBR3,EMBRAER,ON      NM
ENGI11,ENERGISA,UNT     N2
ENEV3,ENEVA,ON      NM
EGIE3,ENGIE BRASIL,ON  EJ  NM
EQTL3,EQUATORIAL,ON      NM
EZTC3,EZTEC,ON      NM
FLRY3,FLEURY,ON      NM
GGBR4,GERDAU,PN      N1
GOAU4,GERDAU MET,PN      N1
NTCO3,GRUPO NATURA,ON      NM
HAPV3,HAPVIDA,ON      NM
HYPE3,HYPERA,ON  EDJ NM
IGTI11,IGUATEMI S.A,UNT     N1
IRBR3,IRBBRASIL RE,ON      NM
ISAE4,ISA ENERGIA,PN      N1
ITSA4,ITAUSA,PN      N1
ITUB4,ITAUUNIBANCO,PN      N1
JBSS3,JBS,ON      NM
KLBN11,KLABIN S/A,UNT EJ  N2
RENT3,LOCALIZA,ON  EJ  NM
LREN3,LOJAS RENNER,ON  EJ  NM
LWSA3,LWSA,ON      NM
MGLU3,MAGAZ LUIZA,ON      NM
MRFG3,MARFRIG,ON      NM
BEEF3,MINERVA,ON      NM
MRVE3,MRV,ON      NM
MULT3,MULTIPLAN,ON  EJ  N2
PCAR3,P.ACUCAR-CBD,ON      NM
PETR3,PETROBRAS,ON  EDJ N2
PETR4,PETROBRAS,PN  EDJ N2
RECV3,PETRORECSA,ON      NM
PRIO3,PETRORIO,ON      NM
PETZ3,PETZ,ON      NM
RADL3,RAIADROGASIL,ON      NM
RAIZ4,RAIZEN,PN      N2
RDOR3,REDE D OR,ON  EJ  NM
RAIL3,RUMO S.A.,ON      NM
SBSP3,SABESP,ON      NM
SANB11,SANTANDER BR,UNT
STBP3,SANTOS BRP,ON  EJ  NM
SMTO3,SAO MARTINHO,ON      NM
CSNA3,SID NACIONAL,ON
SLCE3,SLC AGRICOLA,ON      NM
SUZB3,SUZANO S.A.,ON  EJ  NM
TAEE11,TAESA,UNT     N2
VIVT3,TELEF BRASIL,ON  EJ
TIMS3,TIM,ON  EJ  NM
TOTS3,TOTVS,ON      NM
UGPA3,ULTRAPAR,ON      NM
USIM5,USIMINAS,PNA     N1
VALE3,VALE,ON      NM
VAMO3,VAMOS,ON      NM
VBBR3,VIBRA,ON  EJ  NM
VIVA3,VIVARA S.A.,ON      NM
WEGE3,WEG,ON  EJ  NM
YDUQ3,YDUQS PART,ON      NM
